# Residuals    
# Time         	Ux             	Uy             	Uz             	p              	epsilon        	k              
143            	3.05592090e-002	6.73744160e-004	1.87679510e-002	2.96732670e-002	8.88198610e-004	9.82895230e-003
144            	2.89747360e-002	6.27537060e-004	1.73080890e-002	2.69125190e-002	8.58472180e-004	9.66598680e-003
145            	2.75167690e-002	5.87073140e-004	1.60685400e-002	2.43116720e-002	8.30159650e-004	9.51557130e-003
146            	2.62244120e-002	5.51839720e-004	1.49427560e-002	2.19457750e-002	7.99361890e-004	9.40900120e-003
147            	2.50451850e-002	5.21497820e-004	1.38774310e-002	1.97789290e-002	7.71683310e-004	9.30328920e-003
148            	2.39384650e-002	4.94361790e-004	1.29000770e-002	1.79547250e-002	7.42551090e-004	9.21969140e-003
149            	2.28476520e-002	4.70034510e-004	1.19721970e-002	1.62499720e-002	7.15184090e-004	9.13812620e-003
150            	2.17721500e-002	4.48301660e-004	1.11817920e-002	1.47463600e-002	6.87686220e-004	9.05816600e-003
151            	2.07194380e-002	4.29372870e-004	1.04640490e-002	1.34401820e-002	6.82716780e-004	8.97353040e-003
152            	1.97645450e-002	4.11922590e-004	9.83078710e-003	1.21172410e-002	6.44183420e-004	8.88699660e-003
153            	1.88803190e-002	3.96390020e-004	9.23557450e-003	1.10635970e-002	6.17256020e-004	8.81237540e-003
154            	3.74168050e-003	7.82951180e-005	1.77608010e-003	2.69222760e-001	1.82632930e-004	2.66706890e-003
155            	8.84398970e-003	1.50817120e-004	8.45051310e-003	5.76056980e-002	1.65547580e-004	2.59038280e-003
156            	8.13148430e-003	1.48598530e-004	8.08406190e-003	3.21002110e-002	1.60120620e-004	2.58843900e-003
157            	6.42577600e-003	1.27359680e-004	6.27491110e-003	2.80479540e-002	1.56649930e-004	2.58051730e-003
158            	5.37372470e-003	1.14201650e-004	4.99638200e-003	2.06616980e-002	1.53861500e-004	2.56800350e-003
159            	4.84988970e-003	1.06951130e-004	4.15747870e-003	1.42629740e-002	1.51296560e-004	2.55380350e-003
160            	4.57046280e-003	1.03240850e-004	3.56807760e-003	9.79119600e-003	1.48974100e-004	2.54125620e-003
161            	4.37070420e-003	1.01647880e-004	3.14674320e-003	6.94807280e-003	1.46807030e-004	2.53161830e-003
162            	4.22969690e-003	1.00370830e-004	2.84401970e-003	5.20711940e-003	1.44585950e-004	2.52273950e-003
163            	4.11528140e-003	9.91144640e-005	2.62672310e-003	4.14450650e-003	1.42345590e-004	2.51304450e-003
164            	4.01517220e-003	9.79880400e-005	2.46440400e-003	3.39830040e-003	1.40195080e-004	2.50298730e-003
165            	3.92306260e-003	9.71044750e-005	2.33592620e-003	2.90784560e-003	1.38094070e-004	2.49271350e-003
166            	3.83386270e-003	9.62384260e-005	2.22083570e-003	2.55530750e-003	1.36027830e-004	2.48187690e-003
167            	3.74722230e-003	9.53434060e-005	2.12573320e-003	2.29211720e-003	1.34075100e-004	2.47108350e-003
168            	3.66787000e-003	9.44117470e-005	2.04802160e-003	2.09375050e-003	1.32130790e-004	2.46046090e-003
169            	3.59273880e-003	9.34622550e-005	1.97721240e-003	1.92901010e-003	1.30184100e-004	2.44914550e-003
170            	3.52201440e-003	9.24791300e-005	1.91009060e-003	1.76475730e-003	1.28304990e-004	2.43864190e-003
171            	3.45273600e-003	9.14817860e-005	1.85123060e-003	1.65257000e-003	1.26395790e-004	2.42749170e-003
172            	3.38406770e-003	9.05171820e-005	1.79711350e-003	1.54553690e-003	1.24551680e-004	2.41584730e-003
173            	3.31587820e-003	8.95511940e-005	1.74927260e-003	1.45002150e-003	1.22691090e-004	2.40393620e-003
174            	3.25079800e-003	8.85932150e-005	1.70598920e-003	1.37262990e-003	1.20861880e-004	2.39176840e-003
175            	3.18933780e-003	8.76677480e-005	1.66768430e-003	1.30134320e-003	1.19042910e-004	2.37891440e-003
176            	3.13063780e-003	8.67268790e-005	1.63171520e-003	1.23422810e-003	1.17227670e-004	2.36569030e-003
177            	3.07256170e-003	8.57859470e-005	1.59911820e-003	1.17222320e-003	1.15415410e-004	2.35199940e-003
178            	3.01610360e-003	8.48343500e-005	1.56839830e-003	1.11591360e-003	1.13608360e-004	2.33810590e-003
179            	2.96111450e-003	8.38956350e-005	1.54091150e-003	1.06293520e-003	1.11791670e-004	2.32373040e-003
180            	2.90873210e-003	8.29737030e-005	1.51542400e-003	1.01660890e-003	1.09983710e-004	2.30893070e-003
181            	2.85860020e-003	8.20658820e-005	1.49130120e-003	9.74466320e-004	1.08178990e-004	2.29357200e-003
182            	2.81143170e-003	8.11792300e-005	1.46870060e-003	9.35063940e-004	1.06376690e-004	2.27773400e-003
183            	2.76512560e-003	8.02986630e-005	1.44687930e-003	8.93223760e-004	1.04585000e-004	2.26166280e-003
184            	2.71967520e-003	7.94278490e-005	1.42661280e-003	8.56761190e-004	1.02811860e-004	2.24469810e-003
185            	2.67555610e-003	7.85579910e-005	1.40852710e-003	8.22313710e-004	1.01063110e-004	2.22813760e-003
186            	2.63404150e-003	7.77138560e-005	1.39246060e-003	8.13303590e-004	9.92956300e-005	2.21076050e-003
187            	2.59436530e-003	7.68483670e-005	1.37546680e-003	7.62859300e-004	9.75670460e-005	2.19333310e-003
188            	2.55823870e-003	7.60171950e-005	1.35999650e-003	7.44038510e-004	9.58227300e-005	2.17510760e-003
189            	2.52222290e-003	7.51657680e-005	1.34508890e-003	7.18100920e-004	9.41128400e-005	2.15724180e-003
190            	2.48766110e-003	7.43258190e-005	1.33074500e-003	6.96009430e-004	9.24115380e-005	2.13864770e-003
191            	2.45470650e-003	7.34827430e-005	1.31708410e-003	6.77748310e-004	9.07121870e-005	2.12039500e-003
192            	2.42291410e-003	7.26463470e-005	1.30382230e-003	6.54610830e-004	8.90335240e-005	2.10091890e-003
193            	2.39229460e-003	7.18183470e-005	1.29088210e-003	6.35726820e-004	8.73680260e-005	2.08234220e-003
194            	2.36247440e-003	7.10010860e-005	1.27811850e-003	6.17188820e-004	8.57239580e-005	2.06249730e-003
195            	2.33415710e-003	7.01833700e-005	1.26590850e-003	6.00493260e-004	8.40945270e-005	2.04309090e-003
196            	2.30797970e-003	6.93778190e-005	1.25402850e-003	5.82517560e-004	8.24790340e-005	2.02236460e-003
197            	2.28434830e-003	6.85745900e-005	1.24284130e-003	5.67614580e-004	8.08694320e-005	2.00217010e-003
198            	2.26192120e-003	6.77818890e-005	1.23129490e-003	5.54584100e-004	7.92767780e-005	1.98147500e-003
199            	2.24008910e-003	6.69970740e-005	1.21995950e-003	5.41372750e-004	7.77040600e-005	1.96087390e-003
200            	2.21878590e-003	6.62261580e-005	1.20864210e-003	5.28540420e-004	7.61448900e-005	1.93947110e-003
201            	2.19905110e-003	6.54619970e-005	1.19741930e-003	5.15188460e-004	7.46098550e-005	1.91835160e-003
202            	2.18017630e-003	6.47063490e-005	1.18635670e-003	5.02053160e-004	7.30949760e-005	1.89652130e-003
203            	2.16175010e-003	6.39605750e-005	1.17527570e-003	4.89472040e-004	7.15956030e-005	1.87498230e-003
204            	2.14438790e-003	6.32318480e-005	1.16437870e-003	4.79825200e-004	7.01247080e-005	1.85291360e-003
205            	2.12865810e-003	6.25070300e-005	1.15377110e-003	4.71030870e-004	6.86777350e-005	1.83105500e-003
206            	2.11365440e-003	6.17889630e-005	1.14322950e-003	4.62372870e-004	6.72463410e-005	1.80875470e-003
207            	2.09928760e-003	6.10805340e-005	1.13231670e-003	4.54653640e-004	6.58400520e-005	1.78666690e-003
208            	2.08547890e-003	6.03795500e-005	1.12164950e-003	4.44687820e-004	6.44523120e-005	1.76408590e-003
209            	2.07326440e-003	5.96862510e-005	1.11095240e-003	4.35521100e-004	6.30833730e-005	1.74176730e-003
210            	2.06220810e-003	5.89975820e-005	1.10016180e-003	4.26099930e-004	6.17288220e-005	1.71913430e-003
211            	2.05144130e-003	5.83148280e-005	1.08955740e-003	4.17257750e-004	6.03916210e-005	1.69657150e-003
212            	2.04142250e-003	5.76383580e-005	1.07863240e-003	4.10193520e-004	5.90751880e-005	1.67354370e-003
213            	2.03214380e-003	5.69660480e-005	1.06769880e-003	4.01247830e-004	5.77804920e-005	1.65070170e-003
214            	2.02383320e-003	5.62999750e-005	1.05687070e-003	3.93080540e-004	5.65100170e-005	1.62771880e-003
215            	2.01603040e-003	5.56369610e-005	1.04604310e-003	3.85127230e-004	5.52616360e-005	1.60482750e-003
216            	2.00911340e-003	5.49808240e-005	1.03511320e-003	3.78293190e-004	5.40348480e-005	1.58192420e-003
217            	2.00271220e-003	5.43307380e-005	1.02408380e-003	3.72107850e-004	5.28306170e-005	1.55920450e-003
218            	1.99684460e-003	5.36846320e-005	1.01304200e-003	3.64488070e-004	5.16364840e-005	1.53637280e-003
219            	1.99148490e-003	5.30443600e-005	1.00211800e-003	3.57233250e-004	5.04677500e-005	1.51340180e-003
220            	1.98615020e-003	5.24101640e-005	9.91123020e-004	3.50488860e-004	4.93140050e-005	1.49059740e-003
221            	1.98070370e-003	5.17841600e-005	9.80290650e-004	3.44059730e-004	4.81816770e-005	1.46772430e-003
222            	1.97539290e-003	5.11642050e-005	9.69445470e-004	3.36563540e-004	4.70739350e-005	1.44499130e-003
223            	1.97025540e-003	5.05512210e-005	9.58448510e-004	3.29581810e-004	4.59803020e-005	1.42227710e-003
224            	1.96555500e-003	4.99429760e-005	9.47499960e-004	3.21886440e-004	4.49015340e-005	1.39942650e-003
225            	1.96147550e-003	4.93417450e-005	9.36589620e-004	3.16091880e-004	4.38532720e-005	1.37676330e-003
226            	1.95729910e-003	4.87463310e-005	9.25584980e-004	3.10672840e-004	4.28172490e-005	1.35411560e-003
227            	1.95297710e-003	4.81570800e-005	9.14631000e-004	3.05022750e-004	4.18137610e-005	1.33176920e-003
228            	1.94860950e-003	4.75733830e-005	9.03647260e-004	2.99466120e-004	4.08262030e-005	1.30957250e-003
229            	1.94409550e-003	4.69958160e-005	8.92643130e-004	2.94706050e-004	3.98584250e-005	1.28764040e-003
230            	1.93954640e-003	4.64240520e-005	8.81660460e-004	2.88525510e-004	3.89124700e-005	1.26589910e-003
231            	1.93491010e-003	4.58561250e-005	8.70722120e-004	2.82765530e-004	3.79895050e-005	1.24426970e-003
232            	1.93008480e-003	4.52931490e-005	8.59906100e-004	2.77832810e-004	3.70860670e-005	1.22292600e-003
233            	1.92507450e-003	4.47341780e-005	8.49249740e-004	2.73984860e-004	3.61960560e-005	1.20180930e-003
234            	1.91998560e-003	4.41811150e-005	8.38634110e-004	2.68870730e-004	3.53330960e-005	1.18083230e-003
235            	1.91478440e-003	4.36329090e-005	8.28004940e-004	2.64324120e-004	3.44842560e-005	1.16008200e-003
236            	1.90955630e-003	4.30891060e-005	8.17469020e-004	2.59620940e-004	3.36560150e-005	1.13967940e-003
237            	1.90388560e-003	4.25501530e-005	8.06826480e-004	2.54838450e-004	3.28469070e-005	1.11934610e-003
